manifest_index,source_file,cleaned_file_manifest,cleaned_file_local,cleaned_file_exists,cleaned_chars_manifest,has_competition_term_anywhere,business_file_manifest,has_business_section
1,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000209\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273.txt,2023_10K_cleaned\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273.txt,True,408290,True,,False
9,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000697\2023-02-27__WATERS CORP _DE___0001193125-23-050827.txt,2023_10K_cleaned\2023-02-27__WATERS CORP _DE___0001193125-23-050827.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-27__WATERS CORP _DE___0001193125-23-050827.txt,True,349689,True,,False
12,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001115\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446.txt,2023_10K_cleaned\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446.txt,True,221645,True,,False
15,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001233\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","2023_10K_cleaned\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt",True,607151,True,,False
20,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001614\2023-03-08__Riley Exploration Permian, Inc.__0001001614-23-000011.txt","2023_10K_cleaned\2023-03-08__Riley Exploration Permian, Inc.__0001001614-23-000011.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-08__Riley Exploration Permian, Inc.__0001001614-23-000011.txt",True,449724,True,,False
25,"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1002590\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567.txt","2023_10K_cleaned\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-12-06__STAR GROUP, L.P.__0000950170-23-068567.txt",True,354894,True,,False
29,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1003509\2023-03-28__AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST__0001193125-23-082276.txt,2023_10K_cleaned\2023-03-28__AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST__0001193125-23-082276.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-28__AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST__0001193125-23-082276.txt,True,25683,False,,False
43,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005210\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770.txt,2023_10K_cleaned\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-22__SUBURBAN PROPANE PARTNERS LP__0000950170-23-065770.txt,True,591728,True,,False
45,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1005284\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086.txt,2023_10K_cleaned\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__UNIVERSAL DISPLAY CORP _PA___0000950170-23-004086.txt,True,309757,True,,False
51,C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1006045\2023-03-09__IRIDEX CORP__0000950170-23-007061.txt,2023_10K_cleaned\2023-03-09__IRIDEX CORP__0000950170-23-007061.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-09__IRIDEX CORP__0000950170-23-007061.txt,True,303343,True,,False
