source_file,cleaned_file,business_file,no_outgoing_edges_file,cleaned_chars,has_business_section,business_chars,has_competition_term_anywhere,has_competition_term_in_business,section_source,audit_category,audit_reason,is_isolated,has_business_header,has_competition_header
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000045\2023-06-27__NICHOLAS FINANCIAL INC__0000950170-23-030037.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-06-27__NICHOLAS FINANCIAL INC__0000950170-23-030037.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-06-27__NICHOLAS FINANCIAL INC__0000950170-23-030037_business.txt,,240414,True,25895,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000209\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-10__MEDALLION FINANCIAL CORP__0000950170-23-007273_business.txt,,408290,True,75889,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000228\2023-02-21__HENRY SCHEIN INC__0001000228-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-21__HENRY SCHEIN INC__0001000228-23-000011.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-21__HENRY SCHEIN INC__0001000228-23-000011_business.txt,,435310,True,204511,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000229\2023-02-10__CORE LABORATORIES N V__0000950170-23-002412.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__CORE LABORATORIES N V__0000950170-23-002412.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__CORE LABORATORIES N V__0000950170-23-002412_business.txt,,320474,True,58632,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000230\2023-12-20__OPTICAL CABLE CORP__0001437749-23-034978.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-12-20__OPTICAL CABLE CORP__0001437749-23-034978.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-12-20__OPTICAL CABLE CORP__0001437749-23-034978_business.txt,,56635,True,25823,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000298\2023-03-16__IMPAC MORTGAGE HOLDINGS INC__0001558370-23-004051.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-16__IMPAC MORTGAGE HOLDINGS INC__0001558370-23-004051.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-16__IMPAC MORTGAGE HOLDINGS INC__0001558370-23-004051_business.txt,,518096,True,3319,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000623\2023-03-01__Mativ Holdings, Inc.__0001000623-23-000021.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__Mativ Holdings, Inc.__0001000623-23-000021.txt",,"C:\JuneKim0712\Code\daeun\2023_no_outgoing_edges\2023-03-01__Mativ Holdings, Inc.__0001000623-23-000021_business.txt",418316,True,716,True,False,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000683\2023-04-17__BLONDER TONGUE LABORATORIES INC__0001213900-23-030312.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-17__BLONDER TONGUE LABORATORIES INC__0001213900-23-030312.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-04-17__BLONDER TONGUE LABORATORIES INC__0001213900-23-030312_business.txt,,301141,True,65351,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000694\2023-02-28__NOVAVAX INC__0001000694-23-000005.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-28__NOVAVAX INC__0001000694-23-000005.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-28__NOVAVAX INC__0001000694-23-000005_business.txt,,569031,True,113031,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000697\2023-02-27__WATERS CORP _DE___0001193125-23-050827.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-27__WATERS CORP _DE___0001193125-23-050827.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-27__WATERS CORP _DE___0001193125-23-050827_business.txt,,349689,True,36805,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1000753\2023-02-10__INSPERITY, INC.__0001000753-23-000012.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__INSPERITY, INC.__0001000753-23-000012.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__INSPERITY, INC.__0001000753-23-000012_business.txt",,293381,True,51475,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001082\2023-02-23__DISH Network CORP__0001558370-23-001811.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__DISH Network CORP__0001558370-23-001811.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__DISH Network CORP__0001558370-23-001811_business.txt,,667757,True,98393,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001115\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-11-17__GEOSPACE TECHNOLOGIES CORP__0001437749-23-032446_business.txt,,221645,True,35907,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001171\2023-04-11__BROADWAY FINANCIAL CORP _DE___0001140361-23-017732.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-04-11__BROADWAY FINANCIAL CORP _DE___0001140361-23-017732.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-04-11__BROADWAY FINANCIAL CORP _DE___0001140361-23-017732_business.txt,,331365,True,103429,True,True,business,,,False,True,False
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\100122\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-10__TUCSON ELECTRIC POWER CO__0000100122-23-000004_business.txt,,281027,True,2211,True,False,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001233\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-23__SANGAMO THERAPEUTICS, INC__0001628280-23-004666_business.txt",,607151,True,133521,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001250\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-08-18__ESTEE LAUDER COMPANIES INC__0001001250-23-000112_business.txt,,499588,True,297054,True,False,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001316\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-01__TG THERAPEUTICS, INC.__0001558370-23-002610_business.txt",,473806,True,25520,True,True,business,,,False,True,True
C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001385\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891.txt,C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-16__NORTHWEST PIPE CO__0001437749-23-006891_business.txt,,283797,True,34367,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001601\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322.txt","C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-03-31__MGT CAPITAL INVESTMENTS, INC.__0001493152-23-010322_business.txt",,245066,True,13252,True,True,business,,,False,True,True
"C:\JuneKim0712\Code\daeun\SEC\2023_10K_raw\1001614\2023-03-08__Riley Exploration Permian, Inc.__0001001614-23-000011.txt",,,,449724,False,0,True,False,,no_business_header_has_competition_term,No business header detected but competition terms found elsewhere.,True,False,True
