cleaned_file,business_file,has_business_section,has_competition_term_in_business,has_competition_section,business_chars
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-03__Azzurro Solutions Corp.__0001477932-23-000002.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-03__Azzurro Solutions Corp.__0001477932-23-000002_business.txt,True,False,False,2444
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-03__FISION Corp__0001477932-23-000012.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-03__FISION Corp__0001477932-23-000012.txt,True,False,False,17442
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-05__IA Energy Corp.__0001096906-23-000016.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-05__IA Energy Corp.__0001096906-23-000016.txt,True,False,False,13002
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-06__Panamera Holdings Corp__0001640334-23-000027.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-06__Panamera Holdings Corp__0001640334-23-000027_business.txt,True,False,False,6050
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-06__Summit Networks Inc.__0001091818-23-000002.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-06__Summit Networks Inc.__0001091818-23-000002.txt,True,False,False,5670
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-09__GlobeStar Therapeutics Corp__0001161697-23-000049.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-09__GlobeStar Therapeutics Corp__0001161697-23-000049.txt,True,False,False,3852
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-13__Driveitaway Holdings, Inc.__0001731122-23-000046.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-13__Driveitaway Holdings, Inc.__0001731122-23-000046.txt",True,False,False,33682
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-13__Sugarmade, Inc.__0001493152-23-001479.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-13__Sugarmade, Inc.__0001493152-23-001479.txt",True,False,False,24158
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-17__Genufood Energy Enzymes Corp.__0001213900-23-002887.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-17__Genufood Energy Enzymes Corp.__0001213900-23-002887.txt,True,False,False,12135
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-17__Nine Alliance Science & Technology Group__0001017386-23-000022.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-17__Nine Alliance Science & Technology Group__0001017386-23-000022_business.txt,True,False,False,7971
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-17__Pharmagreen Biotech Inc.__0001477932-23-000296.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-17__Pharmagreen Biotech Inc.__0001477932-23-000296_business.txt,True,False,False,8989
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-18__Purthanol Resources Ltd__0001903596-23-000047.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-18__Purthanol Resources Ltd__0001903596-23-000047_business.txt,True,False,False,4133
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-26__SILVER BULL RESOURCES, INC.__0001079973-23-000131.txt","C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-26__SILVER BULL RESOURCES, INC.__0001079973-23-000131_business.txt",True,False,False,35843
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-27__Fuss Brands Corp.__0001829126-23-001055.txt,C:\JuneKim0712\Code\daeun\2023_10K_business_recheck\2023-01-27__Fuss Brands Corp.__0001829126-23-001055_business.txt,True,False,False,1774
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-30__ALEXANDRIA REAL ESTATE EQUITIES, INC.__0001035443-23-000099.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-30__ALEXANDRIA REAL ESTATE EQUITIES, INC.__0001035443-23-000099.txt",True,False,False,3476
"C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-01-31__HST Global, Inc.__0001674796-23-000007.txt","C:\JuneKim0712\Code\daeun\2023_10K_business\2023-01-31__HST Global, Inc.__0001674796-23-000007.txt",True,False,False,1136
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-03__Arma Services Inc__0001683168-23-000530.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-03__Arma Services Inc__0001683168-23-000530.txt,True,False,False,5103
C:\JuneKim0712\Code\daeun\2023_10K_cleaned\2023-02-03__FORD MOTOR CO__0000037996-23-000012.txt,C:\JuneKim0712\Code\daeun\2023_10K_business\2023-02-03__FORD MOTOR CO__0000037996-23-000012.txt,True,False,False,35427
